"ecoregion","stream","biomass","abu","vel","depth","froude","sub_dom","cpom","wcw","acw","temp","ph","cond_corr","elevation","strahler","Urb_1km","Agr_1km","Nat_1km","upslope_area","Urb","Agr","Nat","Prec_mean","Air_temp"
"Alps","Chisone",0.1199,271,0.81,0.36,0.431,"boulders",1.2789,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Chisone",0.0361,60,0.4,0.16,0.319,"boulders",0.7604,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Chisone",0.0564,136,0.84,0.43,0.409,"cobbles",0.6105,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Chisone",0.0908,195,0.41,0.43,0.2,"boulders",0.5908,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Chisone",0.0904,516,0.11,0.31,0.063,"boulders",0.7514,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Chisone",0.0552,98,0.7,0.3,0.408,"cobbles",0.6315,40,60,8.7,7.82,214,365,5,0.1,97.8,2,588,1,5,94,2.274,2.88
"Alps","Colla",0.0974,134,0.7,0.15,0.577,"cobbles",0.5893,5,20,11.38,7.13,62,592,3,1.9,98.1,0,24,4,16,80,2.727,4.61
"Alps","Colla",0.147,192,0.22,0.2,0.157,"cobbles",2.4705,5,20,11.38,7.13,62,592,3,1.9,98.1,0,24,4,16,80,2.727,4.61
"Alps","Colla",0.1432,85,0.41,0.16,0.327,"cobbles",1.5712,5,20,11.38,7.13,62,592,3,1.9,98.1,0,24,4,16,80,2.727,4.61
"Alps","Colla",0.1885,249,0.48,0.32,0.271,"boulders",0.078,5,20,11.38,7.13,62,592,3,1.9,98.1,0,24,4,16,80,2.727,4.61
"Alps","Colla",0.3895,513,0.84,0.26,0.526,"cobbles",1.2313,5,20,11.38,7.13,62,592,3,1.9,98.1,0,24,4,16,80,2.727,4.61
